"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 6.0 NGFS","Current Policies","World","Secondary Energy|Electricity|Oil","EJ/yr",2.618016478,2.837750341,3.033269466,3.716407181,4.475092451,5.058962095,5.846578843,7.109693309,8.148383095,8.753126216,9.232218358,9.46678554,9.646928495,9.910598438,9.837714987,9.45280892,9.538730421
"GCAM 6.0 NGFS","Current Policies","World","Secondary Energy|Liquids|Oil","EJ/yr",174.4462268,181.7840326,183.384757,184.9115719,184.2529668,182.0243659,180.2881699,182.8224576,186.58359,190.3236162,194.3003589,196.5725312,198.3514013,200.4703823,202.6323022,205.0337278,207.9289135
"GCAM 6.0 NGFS","Current Policies","World","Final Energy|Transportation","EJ/yr",112.3077099,116.3511874,117.3539561,118.2190953,120.5117708,124.9428404,129.4456715,135.3177801,141.6907546,148.4546578,155.1910774,162.0369462,169.2062206,176.5422181,183.9040248,191.1320085,197.847943
"GCAM 6.0 NGFS","Current Policies","World","Primary Energy|Coal","EJ/yr",157.4755917,162.4035423,162.658549,167.1895264,169.6384687,169.6920203,168.0762548,167.6654725,166.0581909,162.9599139,157.1612492,152.1690786,146.7155296,139.9352486,134.4320777,128.5501999,121.7172835
"GCAM 6.0 NGFS","Current Policies","World","Final Energy|Industry","EJ/yr",166.0588009,182.5996072,197.7474935,210.8719225,223.3411162,234.7880713,245.0628557,254.537085,263.5971543,272.0616979,279.6139031,286.4014522,291.8841871,295.8619375,298.3006233,299.2729577,298.847826
"GCAM 6.0 NGFS","Current Policies","World","Secondary Energy|Electricity|Coal","EJ/yr",31.41752134,33.8182797,33.29021353,35.12874545,35.61259278,35.54775465,35.17409908,35.90074217,36.62218422,36.50517578,35.29130598,34.65134595,34.34805321,33.75450584,33.77543604,33.77006465,33.86680924
"GCAM 6.0 NGFS","Current Policies","World","Secondary Energy|Electricity|Gas","EJ/yr",19.17037775,20.41640833,22.0021547,25.07956877,28.89620542,33.29556817,38.19830417,44.48547338,50.45735916,54.06784642,57.9958977,62.70658962,67.51102104,72.27095157,76.04131977,78.68387949,80.29239442
"GCAM 6.0 NGFS","Current Policies","World","Primary Energy|Gas","EJ/yr",121.9911715,127.8780565,137.3646053,151.6850212,166.7371484,184.5682263,201.7628466,219.0712586,233.9760122,243.5431516,251.6520455,261.6597349,272.2773555,281.6986962,288.2250495,291.1139254,292.4638639
"GCAM 6.0 NGFS","Current Policies","World","Final Energy|Residential and Commercial","EJ/yr",116.5263479,125.0726576,135.4616726,144.9790673,153.1268912,159.7920013,165.4253862,170.8430721,176.1071288,180.877475,185.3008239,189.1762981,192.4148372,195.082084,197.0876539,198.2586535,199.7582324
"GCAM 6.0 NGFS","Current Policies","World","Secondary Energy|Electricity|Biomass","EJ/yr",1.299623933,1.42621015,1.698954786,1.9487477,2.176987485,2.299048245,2.564687308,3.101354899,3.79820287,4.53934039,5.490843532,6.591668289,7.759610438,9.121014002,10.55747228,12.10893018,13.88229516
"GCAM 6.0 NGFS","Current Policies","World","Final Energy|Industry|Non-ferrous metals","EJ/yr",3.598513589,4.251085391,4.725646926,5.049944525,5.28929451,5.491183004,5.648646611,5.764761342,5.839562646,5.872982229,5.867118739,5.822666185,5.736149363,5.609393967,5.449927731,5.262171233,5.05176635
"GCAM 6.0 NGFS","Current Policies","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",12.40858233,14.01830717,15.26823397,16.33074939,18.15380947,19.79484787,21.25811672,22.57698428,23.72611623,24.88033511,26.1490916,27.59058713,29.24570607,31.07097512,32.97329065,34.87306338,36.67118259
"GCAM 6.0 NGFS","Current Policies","World","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",27.97045736,46.9013502,66.28505141,81.74530926,97.41881551,111.6043825,124.5517621,134.108515,143.7696188,155.5083614,168.1008322,179.6893031,189.4619849,198.3857674,206.2688492,213.929538,220.7704498
"GCAM 6.0 NGFS","Current Policies","World","Final Energy|Transportation|Rail","EJ/yr",3.629614336,4.104379354,4.328787843,4.403566106,4.569929517,4.817596436,5.064809191,5.290549128,5.502691477,5.679246013,5.860929479,6.029350555,6.192185923,6.321052497,6.434525976,6.54276176,6.656307583
"GCAM 6.0 NGFS","Current Policies","World","Final Energy|Transportation|Road|Passenger","EJ/yr",51.14328,48.73399971,44.70600843,41.35707951,38.6622637,38.45843121,38.57840825,39.69334551,41.19492285,42.80395117,44.33319353,45.94572802,47.55497549,49.05998163,50.48143723,51.76121655,52.86647843
"GCAM 6.0 NGFS","Current Policies","World","Final Energy|Industry|Chemicals","EJ/yr",23.062749,25.153731,26.88160145,27.87295444,28.41906969,28.92751679,29.23657775,29.2986885,29.19485046,28.96064055,28.67538625,28.38884398,28.05538183,27.66177418,27.23133226,26.77258664,26.30485653
