"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Industry","EJ/yr",1.32362311839,1.649844994135,2.20570799524,2.81732167435,3.512999217236,4.45143017261,5.69726124556,7.20550908492,8.985280951881,10.995973988605,13.116066208318,15.2691434714765,17.2998864328771,19.148133228129,20.7894486286268,22.2013171421169,23.345847853278
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Industry|Cement","EJ/yr",0.00471734,0.0058664999999999,0.007740902,0.009895563,0.012797915,0.015700379,0.0193471029,0.0269531497799999,0.0324952622,0.0394662386,0.0468290748,0.0541733528,0.0612928639,0.0678657500199999,0.073065160863,0.0769695690869999,0.08025210576
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Industry|Chemicals","EJ/yr",0.00337342,0.0075555,0.0108655812,0.0137850244,0.0167881367,0.0206945829,0.0263990971,0.0292481946599999,0.03458437012,0.03615325639,0.0382751836499999,0.0406802863199999,0.0432177655599999,0.0461631072499999,0.048937437808,0.051458748565,0.053477015216
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Industry|Non-ferrous metals","EJ/yr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Industry|Steel","EJ/yr",0.00609339,0.014614556,0.0427244033,0.105457955,0.2212013289,0.418586051,0.721833933,1.14522202,1.683173008,2.31193642,2.98193854,3.64586279,4.25557772,4.78549193,5.21032183,5.52316261,5.72225013
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Residential and Commercial","EJ/yr",3.08678732989,3.22278607644402,3.4195890297638,3.0982288616662,3.008603888879,3.025215226657,3.263148180671,3.7105875514218,4.2950158525212,4.9903926936101,5.7346364711926,6.49811536631596,7.24694375613829,7.99110923696359,8.67677654090223,9.3076276758022,9.99389641771793
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Transportation","EJ/yr",0.744070253959,0.828355018916169,0.936421979132538,1.00550628473366,1.07252529575208,1.12573023781442,1.2222386021175,1.3751787296799,1.56850670159,1.8307214778696,2.13863461038838,2.53083897919951,2.9621397934527,3.50271209818924,4.0950271786478,4.731320513964,5.391653846039
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Transportation|Aviation","EJ/yr",0.1188871,0.140415,0.1740404,0.2050062389962,0.251609391677,0.29339748503,0.3493825146,0.423214165,0.511079006,0.62848798,0.76560113,0.9455198,1.14239155,1.418612,1.7273563,2.065626,2.4294551
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Transportation|Aviation|Passenger","EJ/yr",0.1188871,0.140415,0.1740404,0.2050062389962,0.251609391677,0.29339748503,0.3493825146,0.423214165,0.511079006,0.62848798,0.76560113,0.9455198,1.14239155,1.418612,1.7273563,2.065626,2.4294551
"GCAM 6.0 NGFS","Delayed transition","GCAM 6.0 NGFS|Africa_Eastern","Final Energy|Transportation|Maritime","EJ/yr",0.1049050242,0.106424312,0.107268319,0.107210193004,0.109722792755,0.10929001116,0.1095984364,0.10751496162,0.102009392735,0.1036972101546,0.11126533716738,0.12132249465851,0.131395570340901,0.14078003202534,0.1506436922729,0.1610971807251,0.172100824323
