sector.old,sector_id.klems,sector.klems
Petroleum Refinery,C19,Manufacture of coke and refined petroleum products
Manufacture of coke oven products,C19,Manufacture of coke and refined petroleum products
Manufacture of gas; distribution of gaseous fuels through mains,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Retail sale of automotive fuel,G,Wholesale and retail trade; repair of motor vehicles and motorcycles
Production of electricity by coal,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Production of electricity by gas,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Production of electricity by petroleum and other oil derivatives,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Production of electricity by biomass and waste,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Production of electricity nec,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Steam and hot water supply,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Production of electricity by nuclear,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Production of electricity by hydro,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Production of electricity by wind,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Production of electricity by solar photovoltaic,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Production of electricity by solar thermal,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
"Production of electricity by tide, wave, ocean",D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Production of electricity by Geothermal,D-E,"Electricity, gas, steam; water supply, sewerage, waste management"
Processing of nuclear fuel,C24-C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment"
Real estate activities (70),L,Real estate activities
Air transport (62),H51,Air transport
"Plastics, basic",C22-C23,Manufacture of rubber and plastic products and other non-metallic mineral products
Re-processing of secondary plastic into new plastic,C22-C23,Manufacture of rubber and plastic products and other non-metallic mineral products
Construction (45),F,Construction
Re-processing of secondary construction material into aggregates,F,Construction
Cultivation of paddy rice,A,"Agriculture, forestry and fishing"
Cultivation of wheat,A,"Agriculture, forestry and fishing"
Cultivation of cereal grains nec,A,"Agriculture, forestry and fishing"
"Cultivation of vegetables, fruit, nuts",A,"Agriculture, forestry and fishing"
Cultivation of oil seeds,A,"Agriculture, forestry and fishing"
"Cultivation of sugar cane, sugar beet",A,"Agriculture, forestry and fishing"
Cultivation of plant-based fibers,A,"Agriculture, forestry and fishing"
Cultivation of crops nec,A,"Agriculture, forestry and fishing"
Cattle farming,A,"Agriculture, forestry and fishing"
Pigs farming,A,"Agriculture, forestry and fishing"
Poultry farming,A,"Agriculture, forestry and fishing"
Meat animals nec,A,"Agriculture, forestry and fishing"
