"Model","Scenario","Region","Variable","Unit","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 5.3+ NGFS","Delayed transition","World","Secondary Energy|Electricity|Solar","EJ/yr","","","",0.01628972143,0.12191384727,0.9365496361,2.385251397014,7.648883356714,15.529649661804,28.498676799504,41.225636483004,55.535244187104,74.94754749313,87.42542978109,100.7062461284,113.2941228067,122.5117625102,129.173206517,131.563342638,133.167448572,133.08499205,132.092641419,146.77301139
"GCAM 5.3+ NGFS","Delayed transition","World","Final Energy|Residential and Commercial","EJ/yr","","","",108.253251455887,115.323865913353,118.540834557564,122.643123171097,131.440478500616,141.632002349851,137.367857907596,138.629157828108,137.54991660573,131.687759480076,135.997147551039,140.933400995611,147.61166001507,154.72282685121,161.206810097084,166.726990343732,172.308660022235,177.176498643925,181.043454758633,182.29045911438
"GCAM 5.3+ NGFS","Delayed transition","World","Secondary Energy|Liquids|Oil","EJ/yr","","","",160.357419,166.598871,176.261356,177.145243394,178.426475254,177.667996196,170.205469879,161.392050065,146.840588061,119.969060396,107.0376823645,94.792157406,86.58686143432,83.313471612,81.095654032,78.637753215,77.80083297,77.33085042,77.245820127,73.493725774
"GCAM 5.3+ NGFS","Delayed transition","World","Secondary Energy|Electricity|Wind","EJ/yr","","","",0.37385237802,1.22873439203,3.0171144489,7.554156721377,14.150379489417,22.427239777381,41.087389960591,59.535839992261,78.042417044978,101.080746980594,117.15471836575,133.60629908975,145.95402509898,154.7021142634,161.25899378312,166.42911186046,169.49740061051,171.1272240057,172.67427543762,154.872109732297
"GCAM 5.3+ NGFS","Delayed transition","World","Secondary Energy|Electricity|Gas","EJ/yr","","","",12.56303444,16.5475857686,19.262802908,27.89366642231,31.9128843655,35.9236877551,32.202288343064,29.5749932553,21.5271572605,6.41007037736,5.47274768687,6.37567269237,8.591201318105,10.786402277129,13.256846467111,16.370444988662,19.342386721306,22.881355384019,25.667605618976,25.4067793507153
"GCAM 5.3+ NGFS","Delayed transition","World","Secondary Energy|Electricity|Coal","EJ/yr","","","",25.96228355,30.795344391,33.983560242,34.09563335,36.59387048,36.9677605,23.30495281877,11.25718844254,1.73452546504,0.23417971949,0.45373430121,0.62890356842,0.793177188688,0.879083162592,0.935826234367,0.9691093845945,1.0204391264065,1.111730906,1.228789467,1.105762795
"GCAM 5.3+ NGFS","Delayed transition","World","Primary Energy|Coal","EJ/yr","","","",129.461845885121,155.142634162834,165.819165837465,175.36481340346,183.201275601231,183.112421802506,121.290782253344,73.307189215594,37.3100565987507,24.1741006225362,20.923492061075,18.267960504761,16.4572044558118,15.3430901369701,14.4241862918318,13.477072164976,12.6389302655793,11.9192969236508,11.2910874706971,10.0877830005666
"GCAM 5.3+ NGFS","Delayed transition","World","Final Energy|Industry","EJ/yr","","","",125.8439410891,145.899587167004,155.92674552425,176.300859822819,188.046118725341,196.415284856325,188.887277279577,183.289814990836,176.587845852179,166.800351943231,165.223688075303,163.223076056449,162.135353311813,161.518373853104,160.058158480122,156.749834721104,153.533347312122,149.909846622763,146.053570440553,140.2112924255
"GCAM 5.3+ NGFS","Delayed transition","World","Primary Energy|Gas","EJ/yr","","","",102.175682657821,118.742696678305,127.192545315503,141.17139305939,148.982307632173,159.374902531122,135.600419420873,123.52798085646,106.219737276444,71.4733891948167,67.9579245074355,64.5720392934112,64.2027022047286,65.6879485172218,68.4104924914427,72.5238125722262,79.5394031230783,88.0851234126989,95.0652118924994,95.4871948817252
"GCAM 5.3+ NGFS","Delayed transition","World","Secondary Energy|Electricity|Oil","EJ/yr","","","",3.855669378,3.348079681,3.379792832,3.5830386616,2.7243391921,2.4263294008,2.61183424714,2.62671412546,2.24128820787,1.461875464079,0.959510499994,0.683420069992,0.497221325059,0.353566611465,0.280274393264,0.23492956843,0.175060125489,0.1526563024774,0.1298906542778,0.0215336506251
