region.nigem,country.exiobase
NiGEM NGFS v1.23.2|United States,US
NiGEM NGFS v1.23.2|China,CN
NiGEM NGFS v1.23.2|United Kingdom,GB
NiGEM NGFS v1.23.2|Australia,AU
NiGEM NGFS v1.23.2|Austria,AT
NiGEM NGFS v1.23.2|Belgium,BE
NiGEM NGFS v1.23.2|Canada,CA
NiGEM NGFS v1.23.2|Czech Republic,CZ
NiGEM NGFS v1.23.2|Denmark,DK
NiGEM NGFS v1.23.2|Finland,FI
NiGEM NGFS v1.23.2|France,FR
NiGEM NGFS v1.23.2|Germany,DE
NiGEM NGFS v1.23.2|Greece,GR
NiGEM NGFS v1.23.2|Hungary,HU
NiGEM NGFS v1.23.2|Ireland,IE
NiGEM NGFS v1.23.2|Italy,IT
NiGEM NGFS v1.23.2|Japan,JP
NiGEM NGFS v1.23.2|Netherlands,NL
NiGEM NGFS v1.23.2|Poland,PL
NiGEM NGFS v1.23.2|Portugal,PT
NiGEM NGFS v1.23.2|Romania,RO
NiGEM NGFS v1.23.2|South Africa,ZA
NiGEM NGFS v1.23.2|Spain,ES
NiGEM NGFS v1.23.2|Sweden,SE
NiGEM NGFS v1.23.2|Europe,
NiGEM NGFS v1.23.2|Argentina,
NiGEM NGFS v1.23.2|Brazil,BR
NiGEM NGFS v1.23.2|Bulgaria,BG
NiGEM NGFS v1.23.2|Chile,
NiGEM NGFS v1.23.2|Croatia,HR
NiGEM NGFS v1.23.2|Estonia,EE
NiGEM NGFS v1.23.2|Hong Kong,
NiGEM NGFS v1.23.2|Indonesia,ID
NiGEM NGFS v1.23.2|Latvia,LV
NiGEM NGFS v1.23.2|Lithuania,LT
NiGEM NGFS v1.23.2|Mexico,MX
NiGEM NGFS v1.23.2|New Zealand,
NiGEM NGFS v1.23.2|Russia,RU
NiGEM NGFS v1.23.2|Singapore,SI
NiGEM NGFS v1.23.2|Slovakia,SK
NiGEM NGFS v1.23.2|Slovenia,
NiGEM NGFS v1.23.2|South Korea,KR
NiGEM NGFS v1.23.2|Taiwan,TW
NiGEM NGFS v1.23.2|Turkey,TR
NiGEM NGFS v1.23.2|Viet Nam,
NiGEM NGFS v1.23.2|Africa,WF
NiGEM NGFS v1.23.2|Asia,WA
NiGEM NGFS v1.23.2|Latin America,WL
NiGEM NGFS v1.23.2|Middle East,WM
NiGEM NGFS v1.23.2|Developing Europe,WE
NiGEM NGFS v1.23.2|Egypt,
NiGEM NGFS v1.23.2|India,IN
NiGEM NGFS v1.23.2|Malaysia,
NiGEM NGFS v1.23.2|Norway,NO
NiGEM NGFS v1.23.2|Switzerland,CH
