Model,Scenario,model.short,scenario.short,sector,Region,year,out,unit.out,energy,unit.energy,value.nonnorm,series,Unit,value.nonnorm.2020,value
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,1990,,billion US$2010/yr,,EJ/yr,,all,EJ/yr per billion US$2010/yr,0.00925511206703475,
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,1995,,billion US$2010/yr,,EJ/yr,,all,EJ/yr per billion US$2010/yr,0.00925511206703475,
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2000,,billion US$2010/yr,,EJ/yr,,all,EJ/yr per billion US$2010/yr,0.00925511206703475,
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2005,248.786682277352,billion US$2010/yr,3.68679759146,EJ/yr,0.0148191115284454,all,EJ/yr per billion US$2010/yr,0.00925511206703475,1.60118120894816
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2010,345.607656745353,billion US$2010/yr,4.3251795423,EJ/yr,0.0125147098389861,all,EJ/yr per billion US$2010/yr,0.00925511206703475,1.35219430605941
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2015,439.036847951268,billion US$2010/yr,4.92749444346,EJ/yr,0.0112234188689486,all,EJ/yr per billion US$2010/yr,0.00925511206703475,1.21267238988112
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2020,530.997799963944,billion US$2010/yr,4.9144441460152,EJ/yr,0.00925511206703475,all,EJ/yr per billion US$2010/yr,0.00925511206703475,1
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2025,633.938894678716,billion US$2010/yr,5.18831167502676,EJ/yr,0.00818424570345416,all,EJ/yr per billion US$2010/yr,0.00925511206703475,0.884294608663374
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2030,819.142112462393,billion US$2010/yr,5.75966965921914,EJ/yr,0.0070313436113121,all,EJ/yr per billion US$2010/yr,0.00925511206703475,0.759725388561921
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2035,1069.41553167522,billion US$2010/yr,6.36487784272142,EJ/yr,0.00595173499374089,all,EJ/yr per billion US$2010/yr,0.00925511206703475,0.643075410717071
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2040,1403.4827123649,billion US$2010/yr,6.9863167584713,EJ/yr,0.00497784311621424,all,EJ/yr per billion US$2010/yr,0.00925511206703475,0.537847956908542
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2045,1844.23558655352,billion US$2010/yr,7.70874276365347,EJ/yr,0.0041799121651586,all,EJ/yr per billion US$2010/yr,0.00925511206703475,0.45163279870449
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2050,2415.26891744554,billion US$2010/yr,8.55859763869004,EJ/yr,0.00354353818610884,all,EJ/yr per billion US$2010/yr,0.00925511206703475,0.382873611950132
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2055,3144.51281254527,billion US$2010/yr,9.6627720266887,EJ/yr,0.0030728995563759,all,EJ/yr per billion US$2010/yr,0.00925511206703475,0.332021863605638
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2060,4061.80066971706,billion US$2010/yr,10.9787229894141,EJ/yr,0.00270292017805464,all,EJ/yr per billion US$2010/yr,0.00925511206703475,0.292046185770351
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2065,5197.55831992839,billion US$2010/yr,12.5053433429604,EJ/yr,0.00240600346801548,all,EJ/yr per billion US$2010/yr,0.00925511206703475,0.259964811942719
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2070,6579.98266973798,billion US$2010/yr,14.2434189054755,EJ/yr,0.00216465903033187,all,EJ/yr per billion US$2010/yr,0.00925511206703475,0.233887932923259
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2075,8228.65562396013,billion US$2010/yr,16.1430070735641,EJ/yr,0.00196180370297173,all,EJ/yr per billion US$2010/yr,0.00925511206703475,0.211969740480978
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2080,10156.1025460359,billion US$2010/yr,18.1495281329607,EJ/yr,0.00178705640777965,all,EJ/yr per billion US$2010/yr,0.00925511206703475,0.193088575787739
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2085,12373.8108047312,billion US$2010/yr,20.2332222480468,EJ/yr,0.00163516499220357,all,EJ/yr per billion US$2010/yr,0.00925511206703475,0.176676952192483
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2090,14887.9733106896,billion US$2010/yr,22.3420016130825,EJ/yr,0.00150067448045738,all,EJ/yr per billion US$2010/yr,0.00925511206703475,0.162145468319346
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2095,17698.5553826131,billion US$2010/yr,24.4254890236822,EJ/yr,0.00138008376930456,all,EJ/yr per billion US$2010/yr,0.00925511206703475,0.149115835584552
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Eastern,2100,20789.4397515041,billion US$2010/yr,26.529880453994,EJ/yr,0.00127612291485992,all,EJ/yr per billion US$2010/yr,0.00925511206703475,0.137883032168272
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Northern,1990,,billion US$2010/yr,,EJ/yr,,all,EJ/yr per billion US$2010/yr,0.00351476083872105,
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Northern,1995,,billion US$2010/yr,,EJ/yr,,all,EJ/yr per billion US$2010/yr,0.00351476083872105,
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Northern,2000,,billion US$2010/yr,,EJ/yr,,all,EJ/yr per billion US$2010/yr,0.00351476083872105,
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Northern,2005,1014.0489226233,billion US$2010/yr,3.849831114534,EJ/yr,0.00379649445765857,all,EJ/yr per billion US$2010/yr,0.00351476083872105,1.08015726584687
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Northern,2010,1264.89088252286,billion US$2010/yr,4.661892595271,EJ/yr,0.00368560850559119,all,EJ/yr per billion US$2010/yr,0.00351476083872105,1.04860861797138
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Northern,2015,1364.68770025431,billion US$2010/yr,5.27330676139,EJ/yr,0.00386411247086591,all,EJ/yr per billion US$2010/yr,0.00351476083872105,1.09939556293451
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Northern,2020,1564.78285483813,billion US$2010/yr,5.49983749928718,EJ/yr,0.00351476083872105,all,EJ/yr per billion US$2010/yr,0.00351476083872105,1
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Northern,2025,1845.47392354045,billion US$2010/yr,5.96257970600845,EJ/yr,0.00323092059440728,all,EJ/yr per billion US$2010/yr,0.00351476083872105,0.919243368940844
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Northern,2030,2251.10425417299,billion US$2010/yr,6.67817753214214,EJ/yr,0.00296662294505572,all,EJ/yr per billion US$2010/yr,0.00351476083872105,0.844046887166075
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Northern,2035,2713.87207407077,billion US$2010/yr,7.27315191394012,EJ/yr,0.00267999069795154,all,EJ/yr per billion US$2010/yr,0.00351476083872105,0.762495891164742
GCAM 5.3+ NGFS,Current Policies,gcam,current,all,Africa_Northern,2040,3224.0725083016,billion US$2010/yr,7.89907026334571,EJ/yr,0.00245002872702352,all,EJ/yr per billion US$2010/yr,0.00351476083872105,0.697068403639959
